Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AE2","Antenna_Loop","Coilcraft_MA5532-AE_RFID",131.000000,-90.850000,90.000000,top
"BZ1","Buzzer","Buzzer_15x7.5RM7.6",147.857500,-115.942500,-90.000000,top
"C1","0.1uF","C_0402_1005Metric",138.685000,-62.478824,180.000000,top
"C2","47uF","C_0402_1005Metric",136.685000,-64.478824,180.000000,top
"C3","1uF","C_0402_1005Metric",142.500000,-96.530000,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",140.500000,-96.530000,90.000000,top
"C5","4.7uF","C_0402_1005Metric",141.500000,-96.530000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",139.500000,-104.000000,-90.000000,top
"C7","1uF","C_0402_1005Metric",140.500000,-104.000000,-90.000000,top
"C8","220pF","C_0402_1005Metric",140.000000,-101.000000,180.000000,top
"C9","100pF","C_0402_1005Metric",136.000000,-103.500000,0.000000,top
"C10","10uF","C_0402_1005Metric",157.790000,-64.400000,180.000000,top
"C11","0.1uF","C_0402_1005Metric",157.790000,-62.430000,180.000000,top
"C12","1uF","C_0402_1005Metric",157.790000,-60.460000,180.000000,top
"C13","100nF","C_0402_1005Metric",131.250000,-79.100000,0.000000,top
"C14","15pF","C_0402_1005Metric",131.980000,-100.440000,0.000000,top
"C15","15pF","C_0402_1005Metric",132.000000,-105.940000,0.000000,top
"D1","D_Schottky","D_0402_1005Metric",137.905000,-55.516324,0.000000,top
"D2","D","D_0402_1005Metric",130.770000,-77.600000,90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",126.770000,-77.600000,0.000000,top
"D4","D_TVS","D_SMA",138.105000,-50.216324,180.000000,top
"FB1","FerriteBead_Small","L_0402_1005Metric",152.550000,-54.728824,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",147.750000,-48.928824,180.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",131.220000,-81.750000,0.000000,top
"J3","Conn_01x08","PinHeader_1x08_P1.00mm_Vertical",134.720000,-78.250000,0.000000,top
"K1","Relay_SPDT","Relay_SPDT_Finder_34.51_Vertical",136.250000,-129.500000,0.000000,top
"L1","4.7uH","L_0402_1005Metric",137.685000,-63.478824,0.000000,top
"Q1","PMOS","SOT-23",139.967500,-54.066324,180.000000,top
"Q2","Q_NMOS","SOT-23",134.250000,-125.500000,90.000000,top
"R1","5.1k","R_0402_1005Metric",149.050000,-55.238824,-90.000000,top
"R2","5.1k","R_0402_1005Metric",146.050000,-55.238824,-90.000000,top
"R3","10k","R_0402_1005Metric",137.685000,-56.978824,0.000000,top
"R4","100k","R_0402_1005Metric",140.195000,-64.478824,0.000000,top
"R5","56k","R_0402_1005Metric",141.195000,-63.478824,0.000000,top
"R6","100k","R_0402_1005Metric",136.912500,-53.931324,0.000000,top
"R7","100k","R_0402_1005Metric",136.902500,-52.931324,180.000000,top
"R8","10k","R_0402_1005Metric",143.500000,-96.500000,-90.000000,top
"R9","1.8k","R_0402_1005Metric",140.000000,-100.000000,180.000000,top
"R10","10k","R_0402_1005Metric",145.280000,-106.750000,90.000000,top
"R11","10k","R_0402_1005Metric",146.280000,-106.750000,90.000000,top
"R12","10k","R_0402_1005Metric",157.800000,-68.400000,180.000000,top
"R13","330","R_0402_1005Metric",131.270000,-76.100000,180.000000,top
"R14","220","R_0402_1005Metric",134.357500,-122.542500,-90.000000,top
"SW1","RESET","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",151.720000,-65.250000,180.000000,top
"SW2","BOOT","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",138.790000,-91.400000,180.000000,top
"SW3","USER_INPUT","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",134.290000,-72.900000,180.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",154.350000,-79.000000,-90.000000,top
"U2","AP63203WU","TSOT-23-6",138.155000,-59.853824,-90.000000,top
"U3","PN5321A3HN_C1xx","HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm",145.000000,-101.500000,0.000000,top
"Y1","27.12MHz","Crystal_HC49-U-3Pin_Vertical",128.000000,-101.060000,-90.000000,top
