Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Coilcraft_MA5532-AE_RFID,1,Antenna_Loop,
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,C2878
"C1,C11,C4,C6,C13",0402,5,100nF,C5142579
C10,0402,1,10uF,C466623
"C12,C3,C7",0402,3,1uF,C7503520
"C14,C15",0402,2,15pF,C3857558
C2,0402,1,47uF,C970653
C5,0402,1,4.7uF,C2835559
C8,0402,1,220pF,C39122
C9,0402,1,100pF,C1546
D1,0402,1,D_Schottky,C146713
D2,0402,1,D,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2761795
D4,D_SMA,1,D_TVS,C571370
FB1,0402,1,FerriteBead_Small,C32810416
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3020560
J2,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Pin,C41375972
J3,PinHeader_1x08_P1.00mm_Vertical,1,Conn_01x08,C2938403
K1,Relay_SPDT_Finder_34.51_Vertical,1,Relay_SPDT,C5512438
L1,0402,1,4.7uH,C3002596
Q1,SOT-23,1,PMOS,C5273673
Q2,SOT-23,1,Q_NMOS,C239054
"R1,R2",0402,2,5.1k,C25905
"R10,R11,R12,R3,R8",0402,5,10k,C2889342
R13,0402,1,330,C881128
R14,0402,1,220,C2938403
"R4,R6,R7",0402,3,100k,C269673
R5,0402,1,56k,C2889346
R9,0402,1,1.8k,C560335
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C89380
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT,C89380
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,USER_INPUT,C89380
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U2,TSOT-23-6,1,AP63203WU,C780769
U3,HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,PN5321A3HN_C1xx,C28925
Y1,Crystal_HC49-U-3Pin_Vertical,1,27.12MHz,C5265815
